]®VHø00/00/0000, 00:00:00, Master Init Complete
05/08/2012, 09:03:49, Screen Saver
05/08/2012, 09:04:00, Screen Saver
05/08/2012, 09:04:11, Screen Saver
05/08/2012, 09:04:22, Screen Saver
05/08/2012, 09:04:33, Screen Saver
05/08/2012, 09:04:44, Screen Saver
05/08/2012, 09:04:55, Screen Saver
05/08/2012, 09:05:06, Screen Saver
05/08/2012, 09:05:17, Screen Saver
05/08/2012, 09:05:28, Screen Saver
05/08/2012, 09:05:33, Note,6
05/08/2012, 09:05:44, Screen Saver
05/08/2012, 09:05:55, Screen Saver
05/08/2012, 09:06:06, Screen Saver
05/08/2012, 09:06:17, Screen Saver
05/08/2012, 09:06:28, Screen Saver
05/08/2012, 09:06:39, Screen Saver
05/08/2012, 09:06:50, Screen Saver
05/08/2012, 09:07:01, Screen Saver
05/08/2012, 09:07:12, Screen Saver
05/08/2012, 09:07:23, Screen Saver
05/08/2012, 09:07:34, Screen Saver
05/08/2012, 09:07:45, Screen Saver
05/08/2012, 09:07:56, Screen Saver
05/08/2012, 09:08:07, Screen Saver
05/08/2012, 09:08:18, Screen Saver
05/08/2012, 09:08:29, Screen Saver
05/08/2012, 09:08:40, Screen Saver
05/08/2012, 09:08:51, Screen Saver
05/08/2012, 09:09:02, Screen Saver
05/08/2012, 09:09:13, Screen Saver
05/08/2012, 09:09:24, Screen Saver
05/08/2012, 09:09:36, Screen Saver
05/08/2012, 09:09:47, Screen Saver
05/08/2012, 09:09:58, Screen Saver
05/08/2012, 09:10:09, Screen Saver
05/08/2012, 09:10:20, Screen Saver
05/08/2012, 09:10:30, Note,6
05/08/2012, 09:10:41, Screen Saver
05/08/2012, 09:10:52, Screen Saver
05/08/2012, 09:11:03, Screen Saver
05/08/2012, 09:11:14, Screen Saver
05/08/2012, 09:11:25, Screen Saver
05/08/2012, 09:11:36, Screen Saver
05/08/2012, 09:11:47, Screen Saver
05/08/2012, 09:11:58, Screen Saver
05/08/2012, 09:12:09, Screen Saver
05/08/2012, 09:12:20, Screen Saver
05/08/2012, 09:12:25, Note,6
05/08/2012, 09:12:35, Screen Saver
05/08/2012, 09:12:46, Screen Saver
05/08/2012, 09:12:57, Screen Saver
05/08/2012, 09:13:08, Screen Saver
05/08/2012, 09:13:19, Screen Saver
05/08/2012, 09:13:30, Screen Saver
05/08/2012, 09:13:41, Screen Saver
05/08/2012, 09:13:52, Screen Saver
05/08/2012, 09:14:03, Screen Saver
05/08/2012, 09:14:14, Screen Saver
05/08/2012, 09:14:25, Screen Saver
05/08/2012, 09:14:36, Screen Saver
05/08/2012, 09:14:47, Screen Saver
05/08/2012, 09:14:58, Screen Saver
05/08/2012, 09:15:09, Screen Saver
05/08/2012, 09:15:20, Screen Saver
05/08/2012, 09:15:31, Screen Saver
05/08/2012, 09:15:43, Screen Saver
05/08/2012, 09:15:54, Screen Saver
05/08/2012, 09:16:05, Screen Saver
05/08/2012, 09:16:16, Screen Saver
05/08/2012, 09:16:27, Screen Saver
05/08/2012, 09:16:38, Screen Saver
05/08/2012, 09:16:49, Screen Saver
05/08/2012, 09:17:00, Screen Saver
05/08/2012, 09:17:09, Note,6
05/08/2012, 09:17:19, Screen Saver
05/08/2012, 09:17:26, Note,6
05/08/2012, 09:17:37, Screen Saver
05/08/2012, 09:17:48, Screen Saver
05/08/2012, 09:17:48, Note,6
05/08/2012, 09:17:52, Note,6
05/08/2012, 09:18:03, Screen Saver
05/08/2012, 09:18:06, Note,6
05/08/2012, 09:18:06, Note,6
05/08/2012, 09:18:17, Screen Saver
05/08/2012, 09:18:28, Screen Saver
05/08/2012, 09:18:39, Screen Saver
05/08/2012, 09:18:45, Note,6
05/08/2012, 09:18:46, Note,8
05/08/2012, 09:18:56, Screen Saver
05/08/2012, 09:19:00, Note,8
05/08/2012, 09:19:01, Note,6
05/08/2012, 09:19:05, Note,6
05/08/2012, 09:19:06, Note,6
05/08/2012, 09:19:06, Note,6
05/08/2012, 09:19:12, Note,6
05/08/2012, 09:19:14, Note,6
05/08/2012, 09:19:24, Screen Saver
05/08/2012, 09:19:35, Screen Saver
05/08/2012, 09:19:46, Screen Saver
05/08/2012, 09:19:57, Screen Saver
05/08/2012, 09:20:08, Screen Saver
05/08/2012, 09:20:19, Screen Saver
05/08/2012, 09:20:30, Screen Saver
05/08/2012, 09:20:41, Screen Saver
05/08/2012, 09:20:52, Screen Saver
05/08/2012, 09:21:03, Screen Saver
05/08/2012, 09:21:08, Note,6
05/08/2012, 09:21:18, Screen Saver
05/08/2012, 09:21:29, Screen Saver
05/08/2012, 09:21:40, Screen Saver
05/08/2012, 09:21:51, Screen Saver
05/08/2012, 09:22:02, Screen Saver
05/08/2012, 09:22:13, Screen Saver
05/08/2012, 09:22:24, Screen Saver
05/08/2012, 09:22:36, Screen Saver
05/08/2012, 09:22:47, Screen Saver
05/08/2012, 09:22:58, Screen Saver
05/08/2012, 09:23:09, Screen Saver
05/08/2012, 09:23:20, Screen Saver
05/08/2012, 09:23:31, Screen Saver
05/08/2012, 09:23:42, Screen Saver
05/08/2012, 09:23:53, Screen Saver
05/08/2012, 09:24:04, Screen Saver
05/08/2012, 09:24:13, Note,6
05/08/2012, 09:24:24, Screen Saver
05/08/2012, 09:24:35, Screen Saver
05/08/2012, 09:24:46, Screen Saver
05/08/2012, 09:24:57, Screen Saver
05/08/2012, 09:25:00, Note,8
05/08/2012, 09:25:10, Screen Saver
05/08/2012, 09:25:21, Screen Saver
05/08/2012, 09:25:32, Screen Saver
05/08/2012, 09:25:43, Screen Saver
05/08/2012, 09:25:54, Screen Saver
05/08/2012, 09:26:05, Screen Saver
05/08/2012, 09:26:16, Screen Saver
05/08/2012, 09:26:27, Screen Saver
05/08/2012, 09:26:38, Screen Saver
05/08/2012, 09:26:49, Screen Saver
05/08/2012, 09:27:00, Screen Saver
05/08/2012, 09:27:11, Screen Saver
05/08/2012, 09:27:22, Screen Saver
05/08/2012, 09:27:33, Screen Saver
05/08/2012, 09:27:44, Screen Saver
05/08/2012, 09:27:55, Screen Saver
05/08/2012, 09:28:06, Screen Saver
05/08/2012, 09:28:17, Screen Saver
05/08/2012, 09:28:28, Screen Saver
05/08/2012, 09:28:39, Screen Saver
05/08/2012, 09:28:50, Screen Saver
05/08/2012, 09:29:02, Screen Saver
05/08/2012, 09:29:13, Screen Saver
05/08/2012, 09:29:24, Screen Saver
05/08/2012, 09:29:35, Screen Saver
05/08/2012, 09:29:46, Screen Saver
05/08/2012, 09:29:57, Screen Saver
05/08/2012, 09:30:08, Screen Saver
05/08/2012, 09:30:19, Screen Saver
05/08/2012, 09:30:30, Screen Saver
05/08/2012, 09:30:41, Screen Saver
05/08/2012, 09:30:52, Screen Saver
05/08/2012, 09:31:03, Screen Saver
05/08/2012, 09:31:14, Screen Saver
05/08/2012, 09:31:25, Screen Saver
05/08/2012, 09:31:36, Screen Saver
05/08/2012, 09:31:47, Screen Saver
05/08/2012, 09:31:58, Screen Saver
05/08/2012, 09:32:09, Screen Saver
05/08/2012, 09:32:20, Screen Saver
05/08/2012, 09:32:31, Screen Saver
05/08/2012, 09:32:42, Screen Saver
05/08/2012, 09:32:53, Screen Saver
05/08/2012, 09:33:04, Screen Saver
05/08/2012, 09:33:15, Screen Saver
05/08/2012, 09:33:26, Screen Saver
05/08/2012, 09:33:37, Screen Saver
05/08/2012, 09:33:48, Screen Saver
05/08/2012, 09:33:59, Screen Saver
05/08/2012, 09:34:10, Screen Saver
05/08/2012, 09:34:21, Screen Saver
05/08/2012, 09:34:32, Screen Saver
05/08/2012, 09:34:43, Screen Saver
05/08/2012, 09:34:54, Screen Saver
05/08/2012, 09:35:06, Screen Saver
05/08/2012, 09:35:17, Screen Saver
05/08/2012, 09:35:28, Screen Saver
05/08/2012, 09:35:39, Screen Saver
05/08/2012, 09:35:50, Screen Saver
05/08/2012, 09:36:01, Screen Saver
05/08/2012, 09:36:12, Screen Saver
05/08/2012, 09:36:23, Screen Saver
05/08/2012, 09:36:34, Screen Saver
05/08/2012, 09:36:45, Screen Saver
05/08/2012, 09:36:56, Screen Saver
05/08/2012, 09:37:07, Screen Saver
05/08/2012, 09:37:18, Screen Saver
05/08/2012, 09:37:23, Note,6
05/08/2012, 09:37:33, Screen Saver
05/08/2012, 09:37:44, Screen Saver
05/08/2012, 09:37:55, Screen Saver
05/08/2012, 09:37:55, Note,6
05/08/2012, 09:38:06, Screen Saver
05/08/2012, 09:38:17, Screen Saver
05/08/2012, 09:38:28, Screen Saver
05/08/2012, 09:38:39, Screen Saver
05/08/2012, 09:38:50, Screen Saver
05/08/2012, 09:39:01, Screen Saver
05/08/2012, 09:39:12, Screen Saver
05/08/2012, 09:39:23, Screen Saver
05/08/2012, 09:39:34, Screen Saver
05/08/2012, 09:39:45, Screen Saver
05/08/2012, 09:39:56, Screen Saver
05/08/2012, 09:40:07, Screen Saver
05/08/2012, 09:40:18, Screen Saver
05/08/2012, 09:40:29, Screen Saver
05/08/2012, 09:40:40, Screen Saver
05/08/2012, 09:40:51, Screen Saver
05/08/2012, 09:41:02, Screen Saver
05/08/2012, 09:41:13, Screen Saver
05/08/2012, 09:41:24, Screen Saver
05/08/2012, 09:41:36, Screen Saver
05/08/2012, 09:41:47, Screen Saver
05/08/2012, 09:41:58, Screen Saver
05/08/2012, 09:42:09, Screen Saver
05/08/2012, 09:42:20, Screen Saver
05/08/2012, 09:42:31, Screen Saver
05/08/2012, 09:42:42, Screen Saver
05/08/2012, 09:42:53, Screen Saver
05/08/2012, 09:43:02, Note,6
05/08/2012, 09:43:11, Note,6
05/08/2012, 09:43:17, Note,6
05/08/2012, 09:43:27, Screen Saver
05/08/2012, 09:43:38, Screen Saver
05/08/2012, 09:43:49, Screen Saver
05/08/2012, 09:44:00, Screen Saver
05/08/2012, 09:44:00, Note,6
05/08/2012, 09:44:11, Screen Saver
05/08/2012, 09:44:15, Note,6
05/08/2012, 09:44:25, Screen Saver
05/08/2012, 09:44:35, Note,6
05/08/2012, 09:44:37, Note,6
05/08/2012, 09:44:41, Note,6
05/08/2012, 09:44:52, Screen Saver
05/08/2012, 09:45:00, Note,6
05/08/2012, 09:45:10, Screen Saver
05/08/2012, 09:45:21, Screen Saver
05/08/2012, 09:45:27, Note,6
05/08/2012, 09:45:38, Screen Saver
05/08/2012, 09:45:49, Screen Saver
05/08/2012, 09:45:56, Note,6
05/08/2012, 09:45:59, Note,8
05/08/2012, 09:45:59, Note,6
05/08/2012, 09:45:59, Note,5
05/08/2012, 09:46:00, Note,4
05/08/2012, 09:46:00, Note,3
05/08/2012, 09:46:00, Note,2
05/08/2012, 09:46:00, Note,1
05/08/2012, 09:46:01, Note,6
05/08/2012, 09:46:11, Screen Saver
05/08/2012, 09:46:22, Screen Saver
05/08/2012, 09:46:26, Note,8
05/08/2012, 09:46:26, Note,8
05/08/2012, 09:46:26, Note,8
05/08/2012, 09:46:27, Note,2
05/08/2012, 09:46:27, Note,8
05/08/2012, 09:46:27, Note,3
05/08/2012, 09:46:27, Note,8
05/08/2012, 09:46:28, Note,4
05/08/2012, 09:46:28, Note,4
05/08/2012, 09:46:28, Note,8
05/08/2012, 09:46:28, Note,1
05/08/2012, 09:46:28, Note,2
05/08/2012, 09:46:29, Note,4
05/08/2012, 09:46:29, Note,7
05/08/2012, 09:46:29, Note,7
05/08/2012, 09:46:29, Note,8
05/08/2012, 09:46:29, Note,7
05/08/2012, 09:46:29, Note,8
05/08/2012, 09:46:29, Note,7
05/08/2012, 09:46:30, Note,6
05/08/2012, 09:46:30, Switching to instrument 1
05/08/2012, 09:46:32, Note,1
05/08/2012, 09:46:32, Note,2
05/08/2012, 09:46:32, Note,3
05/08/2012, 09:46:32, Note,8
05/08/2012, 09:46:32, Note,4
05/08/2012, 09:46:32, Note,5
05/08/2012, 09:46:36, Note,6
05/08/2012, 09:46:46, Screen Saver
05/08/2012, 09:46:57, Screen Saver
05/08/2012, 09:46:59, Note,6
05/08/2012, 09:47:01, Note,6
05/08/2012, 09:47:11, Screen Saver
05/08/2012, 09:47:13, Note,6
05/08/2012, 09:47:17, Note,6
05/08/2012, 09:47:27, Screen Saver
05/08/2012, 09:47:30, Note,6
05/08/2012, 09:47:33, Note,6
05/08/2012, 09:47:39, Note,6
05/08/2012, 09:47:50, Screen Saver
05/08/2012, 09:48:01, Screen Saver
05/08/2012, 09:48:12, Screen Saver
05/08/2012, 09:48:23, Screen Saver
05/08/2012, 09:48:30, Note,6
05/08/2012, 09:48:39, Note,6
05/08/2012, 09:48:41, Note,6
05/08/2012, 09:48:47, Note,6
05/08/2012, 09:48:57, Note,6
05/08/2012, 09:49:07, Note,6
05/08/2012, 09:49:08, Note,6
05/08/2012, 09:49:09, Note,6
05/08/2012, 09:49:18, Note,6
05/08/2012, 09:49:29, Screen Saver
05/08/2012, 09:49:40, Screen Saver
05/08/2012, 09:49:51, Screen Saver
05/08/2012, 09:50:02, Screen Saver
05/08/2012, 09:50:13, Screen Saver
05/08/2012, 09:50:24, Screen Saver
05/08/2012, 09:50:35, Screen Saver
05/08/2012, 09:50:46, Screen Saver
05/08/2012, 09:50:57, Screen Saver
05/08/2012, 09:51:08, Screen Saver
05/08/2012, 09:51:13, Note,6
05/08/2012, 09:51:23, Note,8
05/08/2012, 09:51:33, Screen Saver
05/08/2012, 09:51:44, Screen Saver
05/08/2012, 09:51:55, Screen Saver
05/08/2012, 09:52:06, Screen Saver
05/08/2012, 09:52:17, Screen Saver
05/08/2012, 09:52:28, Screen Saver
05/08/2012, 09:52:39, Screen Saver
05/08/2012, 09:52:50, Screen Saver
05/08/2012, 09:53:01, Screen Saver
05/08/2012, 09:53:09, Note,6
05/08/2012, 09:53:20, Screen Saver
05/08/2012, 09:53:31, Screen Saver
05/08/2012, 09:53:42, Screen Saver
05/08/2012, 09:53:53, Screen Saver
05/08/2012, 09:54:04, Screen Saver
05/08/2012, 09:54:15, Screen Saver
05/08/2012, 09:54:27, Screen Saver
05/08/2012, 09:54:35, Note,6
05/08/2012, 09:54:46, Screen Saver
05/08/2012, 09:54:57, Screen Saver
05/08/2012, 09:55:08, Screen Saver
05/08/2012, 09:55:19, Screen Saver
05/08/2012, 09:55:30, Screen Saver
05/08/2012, 09:55:41, Screen Saver
05/08/2012, 09:55:52, Screen Saver
05/08/2012, 09:56:03, Screen Saver
05/08/2012, 09:56:14, Screen Saver
05/08/2012, 09:56:25, Screen Saver
05/08/2012, 09:56:36, Screen Saver
05/08/2012, 09:56:47, Screen Saver
05/08/2012, 09:56:58, Screen Saver
05/08/2012, 09:57:06, Note,6
05/08/2012, 09:57:17, Screen Saver
05/08/2012, 09:57:17, Note,6
05/08/2012, 09:57:22, Note,6
05/08/2012, 09:57:33, Screen Saver
05/08/2012, 09:57:44, Screen Saver
05/08/2012, 09:57:55, Screen Saver
05/08/2012, 09:57:55, Note,7
05/08/2012, 09:57:56, Note,6
05/08/2012, 09:57:56, Note,5
05/08/2012, 09:58:03, Note,8
05/08/2012, 09:58:05, Note,6
05/08/2012, 09:58:15, Screen Saver
05/08/2012, 09:58:26, Note,6
05/08/2012, 09:58:36, Screen Saver
05/08/2012, 09:58:47, Screen Saver
05/08/2012, 09:58:58, Screen Saver
05/08/2012, 09:59:09, Screen Saver
05/08/2012, 09:59:15, Note,6
05/08/2012, 09:59:22, Note,6
05/08/2012, 09:59:24, Note,6
05/08/2012, 09:59:35, Screen Saver
05/08/2012, 09:59:46, Screen Saver
05/08/2012, 09:59:57, Note,6
05/08/2012, 10:00:02, Note,6
05/08/2012, 10:00:09, Note,6
05/08/2012, 10:00:19, Screen Saver
05/08/2012, 10:00:27, Note,6
05/08/2012, 10:00:37, Screen Saver
05/08/2012, 10:00:48, Note,6
05/08/2012, 10:00:48, Note,5
05/08/2012, 10:00:48, Note,5
05/08/2012, 10:00:49, Note,6
05/08/2012, 10:00:49, Note,6
05/08/2012, 10:00:49, Note,6
05/08/2012, 10:00:50, Note,5
05/08/2012, 10:00:50, Note,6
05/08/2012, 10:00:50, Note,6
05/08/2012, 10:00:50, Note,6
05/08/2012, 10:00:51, Note,6
05/08/2012, 10:00:54, Note,4
05/08/2012, 10:00:56, Note,1
05/08/2012, 10:00:57, Note,4
05/08/2012, 10:00:57, Note,8
05/08/2012, 10:00:57, Note,8
05/08/2012, 10:00:57, Note,8
05/08/2012, 10:00:58, Note,8
05/08/2012, 10:00:58, Note,8
05/08/2012, 10:00:58, Note,7
05/08/2012, 10:00:58, Note,5
05/08/2012, 10:00:58, Note,5
05/08/2012, 10:00:59, Note,5
05/08/2012, 10:00:59, Note,8
05/08/2012, 10:00:59, Note,8
05/08/2012, 10:01:00, Note,3
05/08/2012, 10:01:00, Switching to instrument 2
05/08/2012, 10:01:00, Note,7
05/08/2012, 10:01:00, Note,6
05/08/2012, 10:01:01, Switching to instrument 3
05/08/2012, 10:01:01, Note,4
05/08/2012, 10:01:01, Switching to instrument 4
05/08/2012, 10:01:01, Note,4
05/08/2012, 10:01:01, Switching to noises
05/08/2012, 10:01:01, Note,4
05/08/2012, 10:01:01, Switching to instrument 0
05/08/2012, 10:01:01, Note,4
05/08/2012, 10:01:01, Note,6
05/08/2012, 10:01:01, Note,4
05/08/2012, 10:01:03, Note,4
05/08/2012, 10:01:03, Note,4
05/08/2012, 10:01:03, Note,4
05/08/2012, 10:01:04, Switching to instrument 1
05/08/2012, 10:01:04, Note,6
05/08/2012, 10:01:04, Note,5
05/08/2012, 10:01:04, Switching to instrument 2
05/08/2012, 10:01:05, Switching to instrument 3
05/08/2012, 10:01:05, Switching to instrument 4
05/08/2012, 10:01:05, Note,5
05/08/2012, 10:01:05, Switching to noises
05/08/2012, 10:01:05, Note,5
05/08/2012, 10:01:07, Switching to instrument 0
05/08/2012, 10:01:07, Switching to instrument 1
05/08/2012, 10:01:07, Note,5
05/08/2012, 10:01:07, Switching to instrument 2
05/08/2012, 10:01:07, Note,6
05/08/2012, 10:01:07, Note,5
05/08/2012, 10:01:09, Note,5
05/08/2012, 10:01:09, Note,7
05/08/2012, 10:01:10, Note,7
05/08/2012, 10:01:10, Note,8
05/08/2012, 10:01:10, Note,8
05/08/2012, 10:01:10, Note,8
05/08/2012, 10:01:10, Note,7
05/08/2012, 10:01:10, Note,8
05/08/2012, 10:01:10, Note,7
05/08/2012, 10:01:10, Note,8
05/08/2012, 10:01:11, Note,8
05/08/2012, 10:01:11, Note,8
05/08/2012, 10:01:11, Note,5
05/08/2012, 10:01:11, Note,8
05/08/2012, 10:01:11, Note,5
05/08/2012, 10:01:12, Note,2
05/08/2012, 10:01:13, Note,2
05/08/2012, 10:01:13, Note,2
05/08/2012, 10:01:14, Note,1
05/08/2012, 10:01:15, Note,2
05/08/2012, 10:01:15, Note,2
05/08/2012, 10:01:16, Note,1
05/08/2012, 10:01:17, Note,1
05/08/2012, 10:01:18, Note,2
05/08/2012, 10:01:18, Note,2
05/08/2012, 10:01:18, Switching to instrument 3
05/08/2012, 10:01:18, Note,8
05/08/2012, 10:01:18, Note,2
05/08/2012, 10:01:18, Switching to instrument 4
05/08/2012, 10:01:18, Note,8
05/08/2012, 10:01:18, Note,6
05/08/2012, 10:01:18, Switching to noises
05/08/2012, 10:01:18, Note,8
05/08/2012, 10:01:18, Switching to instrument 0
05/08/2012, 10:01:20, Note,8
05/08/2012, 10:01:20, Switching to instrument 1
05/08/2012, 10:01:20, Note,8
05/08/2012, 10:01:21, Switching to instrument 2
05/08/2012, 10:01:21, Note,6
05/08/2012, 10:01:21, Switching to instrument 3
05/08/2012, 10:01:21, Note,5
05/08/2012, 10:01:21, Note,6
05/08/2012, 10:01:21, Switching to instrument 4
05/08/2012, 10:01:21, Note,5
05/08/2012, 10:01:21, Switching to noises
05/08/2012, 10:01:23, Note,5
05/08/2012, 10:01:23, Note,1
05/08/2012, 10:01:23, Note,1
05/08/2012, 10:01:24, Switching to instrument 0
05/08/2012, 10:01:25, Switching to instrument 1
05/08/2012, 10:01:25, Switching to instrument 2
05/08/2012, 10:01:25, Switching to instrument 3
05/08/2012, 10:01:25, Note,4
05/08/2012, 10:01:25, Switching to instrument 4
05/08/2012, 10:01:25, Note,7
05/08/2012, 10:01:27, Switching to noises
05/08/2012, 10:01:27, Note,8
05/08/2012, 10:01:27, Note,8
05/08/2012, 10:01:27, Note,8
05/08/2012, 10:01:28, Note,4
05/08/2012, 10:01:28, Note,7
05/08/2012, 10:01:30, Note,8
05/08/2012, 10:01:30, Note,8
05/08/2012, 10:01:30, Note,8
05/08/2012, 10:01:30, Note,8
05/08/2012, 10:01:31, Note,7
05/08/2012, 10:01:32, Note,7
05/08/2012, 10:01:32, Note,8
05/08/2012, 10:01:32, Note,8
05/08/2012, 10:01:33, Note,6
05/08/2012, 10:01:33, Note,3
05/08/2012, 10:01:33, Note,8
05/08/2012, 10:01:34, Note,8
05/08/2012, 10:01:35, Note,2
05/08/2012, 10:01:35, Note,8
05/08/2012, 10:01:35, Note,8
05/08/2012, 10:01:36, Note,6
05/08/2012, 10:01:36, Note,8
05/08/2012, 10:01:36, Note,3
05/08/2012, 10:01:36, Note,2
05/08/2012, 10:01:36, Note,8
05/08/2012, 10:01:36, Note,6
05/08/2012, 10:01:36, Note,4
05/08/2012, 10:01:36, Note,1
05/08/2012, 10:01:37, Note,4
05/08/2012, 10:01:37, Note,1
05/08/2012, 10:01:37, Note,1
05/08/2012, 10:01:38, Note,3
05/08/2012, 10:01:38, Note,4
05/08/2012, 10:01:39, Note,3
05/08/2012, 10:01:39, Note,3
05/08/2012, 10:01:39, Note,4
05/08/2012, 10:01:39, Note,3
05/08/2012, 10:01:40, Note,3
05/08/2012, 10:01:40, Note,8
05/08/2012, 10:01:40, Note,8
05/08/2012, 10:01:40, Note,3
05/08/2012, 10:01:40, Note,3
05/08/2012, 10:01:40, Note,8
05/08/2012, 10:01:40, Note,8
05/08/2012, 10:01:41, Note,8
05/08/2012, 10:01:41, Note,3
05/08/2012, 10:01:41, Note,3
05/08/2012, 10:01:41, Note,3
05/08/2012, 10:01:42, Note,4
05/08/2012, 10:01:42, Note,3
05/08/2012, 10:01:42, Note,3
05/08/2012, 10:01:42, Note,4
05/08/2012, 10:01:42, Note,3
05/08/2012, 10:01:43, Note,3
05/08/2012, 10:01:43, Note,3
05/08/2012, 10:01:43, Note,3
05/08/2012, 10:01:44, Note,3
05/08/2012, 10:01:45, Note,3
05/08/2012, 10:01:46, Note,2
05/08/2012, 10:01:47, Switching to instrument 0
05/08/2012, 10:01:47, Note,1
05/08/2012, 10:01:47, Note,2
05/08/2012, 10:01:48, Note,3
05/08/2012, 10:01:49, Note,2
05/08/2012, 10:01:49, Note,2
05/08/2012, 10:01:49, Note,1
05/08/2012, 10:01:50, Switching to instrument 1
05/08/2012, 10:01:51, Note,2
05/08/2012, 10:01:51, Note,2
05/08/2012, 10:01:53, Note,2
05/08/2012, 10:01:53, Note,6
05/08/2012, 10:01:54, Note,2
05/08/2012, 10:01:55, Note,1
05/08/2012, 10:01:55, Note,3
05/08/2012, 10:01:55, Switching to instrument 2
05/08/2012, 10:01:57, Note,6
05/08/2012, 10:01:57, Note,3
05/08/2012, 10:01:57, Note,3
05/08/2012, 10:01:57, Note,3
05/08/2012, 10:01:58, Switching to instrument 3
05/08/2012, 10:01:58, Note,6
05/08/2012, 10:01:59, Switching to instrument 4
05/08/2012, 10:02:01, Note,1
05/08/2012, 10:02:02, Note,1
05/08/2012, 10:02:02, Note,3
05/08/2012, 10:02:02, Note,3
05/08/2012, 10:02:02, Note,1
05/08/2012, 10:02:03, Note,3
05/08/2012, 10:02:03, Note,6
05/08/2012, 10:02:03, Note,3
05/08/2012, 10:02:04, Note,3
05/08/2012, 10:02:04, Note,3
05/08/2012, 10:02:05, Note,3
05/08/2012, 10:02:06, Note,2
05/08/2012, 10:02:06, Note,4
05/08/2012, 10:02:06, Note,6
05/08/2012, 10:02:06, Note,2
05/08/2012, 10:02:06, Note,4
05/08/2012, 10:02:06, Note,4
05/08/2012, 10:02:07, Note,4
05/08/2012, 10:02:08, Note,4
05/08/2012, 10:02:08, Note,3
05/08/2012, 10:02:09, Note,5
05/08/2012, 10:02:10, Note,5
05/08/2012, 10:02:10, Note,5
05/08/2012, 10:02:10, Note,5
05/08/2012, 10:02:10, Note,5
05/08/2012, 10:02:11, Note,4
05/08/2012, 10:02:13, Note,5
05/08/2012, 10:02:14, Note,5
05/08/2012, 10:02:15, Note,5
05/08/2012, 10:02:17, Note,6
05/08/2012, 10:02:18, Note,7
05/08/2012, 10:02:19, Note,7
05/08/2012, 10:02:20, Note,7
05/08/2012, 10:02:20, Note,7
05/08/2012, 10:02:20, Note,7
05/08/2012, 10:02:20, Note,7
05/08/2012, 10:02:20, Note,7
05/08/2012, 10:02:21, Note,8
