WvVHø00/00/0000, 00:00:00, Master Init Complete
01/06/2013, 12:00:45, Screen Saver
01/06/2013, 12:00:56, Screen Saver
01/06/2013, 12:01:08, Screen Saver
01/06/2013, 12:01:19, Screen Saver
01/06/2013, 12:01:30, Screen Saver
01/06/2013, 12:01:41, Screen Saver
01/06/2013, 12:01:52, Screen Saver
01/06/2013, 12:02:03, Screen Saver
01/06/2013, 12:02:14, Screen Saver
01/06/2013, 12:02:25, Screen Saver
01/06/2013, 12:02:36, Screen Saver
01/06/2013, 12:02:47, Screen Saver
01/06/2013, 12:02:58, Screen Saver
01/06/2013, 12:03:09, Screen Saver
01/06/2013, 12:03:20, Screen Saver
01/06/2013, 12:03:31, Screen Saver
01/06/2013, 12:03:42, Screen Saver
01/06/2013, 12:03:53, Screen Saver
01/06/2013, 12:04:04, Screen Saver
01/06/2013, 12:04:15, Screen Saver
01/06/2013, 12:04:26, Screen Saver
01/06/2013, 12:04:37, Screen Saver
01/06/2013, 12:04:48, Screen Saver
01/06/2013, 12:04:59, Screen Saver
01/06/2013, 12:05:10, Screen Saver
01/06/2013, 12:05:21, Screen Saver
01/06/2013, 12:05:32, Screen Saver
01/06/2013, 12:05:43, Screen Saver
01/06/2013, 12:05:54, Screen Saver
01/06/2013, 12:06:05, Screen Saver
01/06/2013, 12:06:16, Screen Saver
01/06/2013, 12:06:27, Screen Saver
01/06/2013, 12:06:38, Screen Saver
01/06/2013, 12:06:49, Screen Saver
01/06/2013, 12:07:01, Screen Saver
01/06/2013, 12:07:12, Screen Saver
01/06/2013, 12:07:23, Screen Saver
01/06/2013, 12:07:34, Screen Saver
01/06/2013, 12:07:45, Screen Saver
01/06/2013, 12:07:56, Screen Saver
01/06/2013, 12:08:07, Screen Saver
01/06/2013, 12:08:18, Screen Saver
01/06/2013, 12:08:29, Screen Saver
01/06/2013, 12:08:40, Screen Saver
01/06/2013, 12:08:51, Screen Saver
01/06/2013, 12:09:02, Screen Saver
01/06/2013, 12:09:13, Screen Saver
01/06/2013, 12:09:24, Screen Saver
01/06/2013, 12:09:35, Screen Saver
01/06/2013, 12:09:46, Screen Saver
01/06/2013, 12:09:57, Screen Saver
01/06/2013, 12:10:08, Screen Saver
01/06/2013, 12:10:19, Screen Saver
01/06/2013, 12:10:30, Screen Saver
01/06/2013, 12:10:41, Screen Saver
01/06/2013, 12:10:52, Screen Saver
01/06/2013, 12:11:03, Screen Saver
01/06/2013, 12:11:14, Screen Saver
01/06/2013, 12:11:25, Screen Saver
01/06/2013, 12:11:36, Screen Saver
01/06/2013, 12:11:47, Screen Saver
01/06/2013, 12:11:58, Screen Saver
01/06/2013, 12:12:09, Screen Saver
01/06/2013, 12:12:20, Screen Saver
01/06/2013, 12:12:31, Screen Saver
01/06/2013, 12:12:42, Screen Saver
01/06/2013, 12:12:53, Screen Saver
01/06/2013, 12:13:04, Screen Saver
01/06/2013, 12:13:15, Screen Saver
01/06/2013, 12:13:26, Screen Saver
01/06/2013, 12:13:38, Screen Saver
01/06/2013, 12:13:49, Screen Saver
01/06/2013, 12:14:00, Screen Saver
01/06/2013, 12:14:11, Screen Saver
01/06/2013, 12:14:22, Screen Saver
01/06/2013, 12:14:32, Note,5
01/06/2013, 12:14:43, Screen Saver
01/06/2013, 12:14:54, Screen Saver
01/06/2013, 12:15:05, Screen Saver
01/06/2013, 12:15:16, Screen Saver
01/06/2013, 12:15:27, Screen Saver
01/06/2013, 12:15:38, Screen Saver
01/06/2013, 12:15:49, Screen Saver
01/06/2013, 12:16:00, Screen Saver
01/06/2013, 12:16:11, Screen Saver
01/06/2013, 12:16:22, Screen Saver
01/06/2013, 12:16:33, Screen Saver
01/06/2013, 12:16:44, Screen Saver
01/06/2013, 12:16:55, Screen Saver
01/06/2013, 12:17:06, Screen Saver
01/06/2013, 12:17:17, Screen Saver
01/06/2013, 12:17:28, Screen Saver
01/06/2013, 12:17:36, Note,5
01/06/2013, 12:17:46, Screen Saver
01/06/2013, 12:17:57, Screen Saver
01/06/2013, 12:18:08, Screen Saver
01/06/2013, 12:18:19, Screen Saver
01/06/2013, 12:18:30, Screen Saver
01/06/2013, 12:18:41, Screen Saver
01/06/2013, 12:18:52, Screen Saver
01/06/2013, 12:19:03, Screen Saver
01/06/2013, 12:19:08, Note,5
01/06/2013, 12:19:18, Screen Saver
01/06/2013, 12:19:29, Screen Saver
01/06/2013, 12:19:41, Screen Saver
01/06/2013, 12:19:52, Screen Saver
01/06/2013, 12:20:03, Screen Saver
01/06/2013, 12:20:14, Screen Saver
01/06/2013, 12:20:25, Screen Saver
01/06/2013, 12:20:36, Screen Saver
01/06/2013, 12:20:47, Screen Saver
01/06/2013, 12:20:58, Screen Saver
01/06/2013, 12:21:09, Screen Saver
01/06/2013, 12:21:20, Screen Saver
01/06/2013, 12:21:31, Screen Saver
01/06/2013, 12:21:42, Screen Saver
01/06/2013, 12:21:53, Screen Saver
01/06/2013, 12:22:04, Screen Saver
01/06/2013, 12:22:15, Screen Saver
01/06/2013, 12:22:26, Screen Saver
01/06/2013, 12:22:37, Screen Saver
01/06/2013, 12:22:48, Screen Saver
01/06/2013, 12:22:59, Screen Saver
01/06/2013, 12:23:10, Screen Saver
01/06/2013, 12:23:21, Screen Saver
01/06/2013, 12:23:32, Screen Saver
01/06/2013, 12:23:43, Screen Saver
01/06/2013, 12:23:48, Note,1
01/06/2013, 12:23:49, Note,2
01/06/2013, 12:23:50, Note,3
01/06/2013, 12:23:51, Note,4
01/06/2013, 12:23:51, Note,2
01/06/2013, 12:23:51, Note,2
01/06/2013, 12:23:51, Note,4
01/06/2013, 12:23:54, Note,6
01/06/2013, 12:23:54, Note,5
01/06/2013, 12:23:55, Note,7
01/06/2013, 12:23:55, Note,7
01/06/2013, 12:23:56, Note,6
01/06/2013, 12:23:56, Note,8
01/06/2013, 12:23:56, Note,8
01/06/2013, 12:23:56, Note,7
01/06/2013, 12:23:59, Note,8
01/06/2013, 12:23:59, Note,8
01/06/2013, 12:23:59, Note,8
01/06/2013, 12:23:59, Note,8
01/06/2013, 12:23:59, Note,8
01/06/2013, 12:24:00, Note,8
01/06/2013, 12:24:00, Note,8
01/06/2013, 12:24:00, Note,8
01/06/2013, 12:24:00, Note,8
01/06/2013, 12:24:00, Note,8
01/06/2013, 12:24:01, Note,3
01/06/2013, 12:24:01, Note,6
01/06/2013, 12:24:01, Note,6
01/06/2013, 12:24:02, Note,3
01/06/2013, 12:24:02, Note,6
01/06/2013, 12:24:03, Note,2
01/06/2013, 12:24:04, Note,1
01/06/2013, 12:24:04, Note,6
01/06/2013, 12:24:05, Note,5
01/06/2013, 12:24:06, Note,4
01/06/2013, 12:24:06, Note,4
01/06/2013, 12:24:06, Note,4
01/06/2013, 12:24:07, Note,3
01/06/2013, 12:24:07, Note,3
01/06/2013, 12:24:08, Note,3
01/06/2013, 12:24:08, Note,3
01/06/2013, 12:24:08, Note,3
01/06/2013, 12:24:08, Note,3
01/06/2013, 12:24:09, Note,1
01/06/2013, 12:24:09, Note,1
01/06/2013, 12:24:10, Note,1
01/06/2013, 12:24:10, Note,3
01/06/2013, 12:24:10, Note,2
01/06/2013, 12:24:11, Note,1
01/06/2013, 12:24:12, Note,4
01/06/2013, 12:24:12, Note,3
01/06/2013, 12:24:12, Note,1
01/06/2013, 12:24:12, Note,3
01/06/2013, 12:24:12, Note,3
01/06/2013, 12:24:12, Note,1
01/06/2013, 12:24:13, Note,2
01/06/2013, 12:24:13, Note,3
01/06/2013, 12:24:13, Note,4
01/06/2013, 12:24:13, Note,2
01/06/2013, 12:24:14, Note,3
01/06/2013, 12:24:14, Note,3
01/06/2013, 12:24:14, Note,3
01/06/2013, 12:24:14, Note,4
01/06/2013, 12:24:17, Note,8
01/06/2013, 12:24:17, Switching to instrument 1
01/06/2013, 12:24:18, Note,7
01/06/2013, 12:24:20, Note,1
01/06/2013, 12:24:20, Note,2
01/06/2013, 12:24:21, Note,1
01/06/2013, 12:24:21, Note,3
01/06/2013, 12:24:21, Note,3
01/06/2013, 12:24:22, Note,2
01/06/2013, 12:24:22, Note,1
01/06/2013, 12:24:22, Note,2
01/06/2013, 12:24:23, Note,3
01/06/2013, 12:24:23, Note,2
01/06/2013, 12:24:24, Switching to instrument 2
01/06/2013, 12:24:25, Switching to instrument 3
01/06/2013, 12:24:27, Note,1
01/06/2013, 12:24:27, Switching to instrument 4
01/06/2013, 12:24:29, Note,1
01/06/2013, 12:24:29, Note,1
01/06/2013, 12:24:29, Note,2
01/06/2013, 12:24:29, Note,3
01/06/2013, 12:24:30, Note,1
01/06/2013, 12:24:30, Note,2
01/06/2013, 12:24:30, Note,3
01/06/2013, 12:24:30, Note,4
01/06/2013, 12:24:30, Note,1
01/06/2013, 12:24:31, Note,5
01/06/2013, 12:24:31, Note,2
01/06/2013, 12:24:32, Note,1
01/06/2013, 12:24:32, Note,5
01/06/2013, 12:24:32, Note,2
01/06/2013, 12:24:32, Note,4
01/06/2013, 12:24:32, Note,5
01/06/2013, 12:24:32, Note,6
01/06/2013, 12:24:33, Note,4
01/06/2013, 12:24:33, Note,6
01/06/2013, 12:24:33, Note,4
01/06/2013, 12:24:33, Note,4
01/06/2013, 12:24:34, Note,7
01/06/2013, 12:24:35, Switching to noises
01/06/2013, 12:24:37, Switching to instrument 0
01/06/2013, 12:24:38, Switching to instrument 1
01/06/2013, 12:24:49, Screen Saver
01/06/2013, 12:25:00, Screen Saver
01/06/2013, 12:25:11, Screen Saver
01/06/2013, 12:25:22, Screen Saver
01/06/2013, 12:25:33, Screen Saver
01/06/2013, 12:25:37, Note,4
01/06/2013, 12:25:38, Note,5
01/06/2013, 12:25:39, Note,6
01/06/2013, 12:25:41, Note,3
01/06/2013, 12:25:42, Note,3
01/06/2013, 12:25:43, Note,2
01/06/2013, 12:25:43, Note,3
01/06/2013, 12:25:43, Note,1
01/06/2013, 12:25:44, Note,2
01/06/2013, 12:25:44, Note,3
01/06/2013, 12:25:44, Note,2
01/06/2013, 12:25:44, Note,3
01/06/2013, 12:25:45, Note,1
01/06/2013, 12:25:45, Note,2
01/06/2013, 12:25:47, Note,2
01/06/2013, 12:25:49, Note,2
01/06/2013, 12:25:51, Note,3
01/06/2013, 12:25:52, Note,5
01/06/2013, 12:25:52, Note,4
01/06/2013, 12:25:52, Note,5
01/06/2013, 12:25:52, Note,5
01/06/2013, 12:25:53, Note,6
01/06/2013, 12:25:53, Note,1
01/06/2013, 12:25:53, Note,1
01/06/2013, 12:25:55, Note,1
01/06/2013, 12:25:56, Note,1
01/06/2013, 12:25:56, Note,6
01/06/2013, 12:25:56, Note,4
01/06/2013, 12:25:56, Note,2
01/06/2013, 12:25:56, Note,5
01/06/2013, 12:25:57, Note,8
01/06/2013, 12:25:57, Note,5
01/06/2013, 12:25:57, Note,7
01/06/2013, 12:25:57, Note,5
01/06/2013, 12:25:57, Note,5
01/06/2013, 12:25:57, Note,6
01/06/2013, 12:25:57, Note,7
01/06/2013, 12:25:57, Note,7
01/06/2013, 12:25:57, Note,4
01/06/2013, 12:25:57, Note,8
01/06/2013, 12:25:57, Note,3
01/06/2013, 12:25:57, Note,7
01/06/2013, 12:25:57, Note,6
01/06/2013, 12:25:57, Note,2
01/06/2013, 12:25:57, Note,4
01/06/2013, 12:25:57, Note,5
01/06/2013, 12:25:57, Note,6
01/06/2013, 12:25:57, Note,1
01/06/2013, 12:25:57, Note,5
01/06/2013, 12:25:57, Note,4
01/06/2013, 12:25:58, Note,4
01/06/2013, 12:25:58, Note,5
01/06/2013, 12:25:58, Note,3
01/06/2013, 12:25:58, Note,2
01/06/2013, 12:25:58, Note,3
01/06/2013, 12:25:58, Note,1
01/06/2013, 12:25:58, Note,4
01/06/2013, 12:25:58, Note,5
01/06/2013, 12:25:58, Note,2
01/06/2013, 12:25:58, Note,4
01/06/2013, 12:25:58, Note,6
01/06/2013, 12:25:58, Note,4
01/06/2013, 12:25:58, Note,3
01/06/2013, 12:25:58, Note,6
01/06/2013, 12:25:58, Note,8
01/06/2013, 12:25:58, Note,5
01/06/2013, 12:25:58, Note,3
01/06/2013, 12:25:58, Note,4
01/06/2013, 12:25:58, Note,2
01/06/2013, 12:25:58, Note,4
01/06/2013, 12:25:58, Note,6
01/06/2013, 12:25:58, Note,1
01/06/2013, 12:25:58, Note,7
01/06/2013, 12:25:59, Note,1
01/06/2013, 12:25:59, Note,5
01/06/2013, 12:25:59, Note,2
01/06/2013, 12:25:59, Note,3
01/06/2013, 12:25:59, Note,4
01/06/2013, 12:25:59, Note,6
01/06/2013, 12:25:59, Note,5
01/06/2013, 12:25:59, Note,4
01/06/2013, 12:25:59, Note,4
01/06/2013, 12:25:59, Note,3
01/06/2013, 12:25:59, Note,2
01/06/2013, 12:25:59, Note,8
01/06/2013, 12:25:59, Note,1
01/06/2013, 12:25:59, Note,7
01/06/2013, 12:25:59, Note,6
01/06/2013, 12:25:59, Note,5
01/06/2013, 12:26:00, Note,1
01/06/2013, 12:26:00, Note,2
01/06/2013, 12:26:00, Note,3
01/06/2013, 12:26:00, Note,4
01/06/2013, 12:26:00, Note,3
01/06/2013, 12:26:00, Note,2
01/06/2013, 12:26:00, Note,1
01/06/2013, 12:26:00, Note,1
01/06/2013, 12:26:01, Note,2
01/06/2013, 12:26:01, Note,2
01/06/2013, 12:26:01, Note,5
01/06/2013, 12:26:02, Note,5
01/06/2013, 12:26:02, Note,8
01/06/2013, 12:26:02, Switching to instrument 2
01/06/2013, 12:26:02, Note,6
01/06/2013, 12:26:02, Note,4
01/06/2013, 12:26:03, Note,3
01/06/2013, 12:26:03, Note,2
01/06/2013, 12:26:03, Note,8
01/06/2013, 12:26:03, Note,2
01/06/2013, 12:26:03, Note,6
01/06/2013, 12:26:03, Note,8
01/06/2013, 12:26:03, Note,1
01/06/2013, 12:26:03, Note,3
01/06/2013, 12:26:03, Note,5
01/06/2013, 12:26:04, Note,7
01/06/2013, 12:26:04, Note,4
01/06/2013, 12:26:04, Note,7
01/06/2013, 12:26:04, Note,2
01/06/2013, 12:26:04, Note,5
01/06/2013, 12:26:04, Note,1
01/06/2013, 12:26:04, Note,6
01/06/2013, 12:26:05, Note,5
01/06/2013, 12:26:05, Note,7
01/06/2013, 12:26:05, Note,1
01/06/2013, 12:26:05, Note,5
01/06/2013, 12:26:05, Note,2
01/06/2013, 12:26:05, Note,3
01/06/2013, 12:26:05, Note,3
01/06/2013, 12:26:05, Note,2
01/06/2013, 12:26:05, Note,7
01/06/2013, 12:26:05, Note,1
01/06/2013, 12:26:06, Note,6
01/06/2013, 12:26:06, Note,5
01/06/2013, 12:26:06, Note,4
01/06/2013, 12:26:06, Note,3
01/06/2013, 12:26:06, Note,2
01/06/2013, 12:26:06, Note,1
01/06/2013, 12:26:06, Note,3
01/06/2013, 12:26:06, Note,4
01/06/2013, 12:26:06, Note,3
01/06/2013, 12:26:06, Note,5
01/06/2013, 12:26:06, Note,6
01/06/2013, 12:26:06, Note,8
01/06/2013, 12:26:06, Note,8
01/06/2013, 12:26:07, Note,2
01/06/2013, 12:26:07, Note,1
01/06/2013, 12:26:07, Note,8
01/06/2013, 12:26:07, Note,7
01/06/2013, 12:26:07, Note,5
01/06/2013, 12:26:07, Note,4
01/06/2013, 12:26:08, Note,2
01/06/2013, 12:26:08, Note,1
01/06/2013, 12:26:08, Switching to instrument 3
01/06/2013, 12:26:09, Switching to instrument 4
01/06/2013, 12:26:09, Note,1
01/06/2013, 12:26:10, Note,2
01/06/2013, 12:26:10, Note,3
01/06/2013, 12:26:10, Note,4
01/06/2013, 12:26:10, Note,5
01/06/2013, 12:26:10, Note,6
01/06/2013, 12:26:11, Note,1
01/06/2013, 12:26:11, Note,7
01/06/2013, 12:26:11, Note,8
01/06/2013, 12:26:11, Note,2
01/06/2013, 12:26:11, Note,6
01/06/2013, 12:26:11, Note,4
01/06/2013, 12:26:12, Note,5
01/06/2013, 12:26:12, Note,2
01/06/2013, 12:26:12, Note,4
01/06/2013, 12:26:12, Note,1
01/06/2013, 12:26:12, Note,3
01/06/2013, 12:26:12, Note,8
01/06/2013, 12:26:12, Note,7
01/06/2013, 12:26:12, Note,4
01/06/2013, 12:26:12, Note,5
01/06/2013, 12:26:12, Note,6
01/06/2013, 12:26:12, Note,1
01/06/2013, 12:26:12, Note,5
01/06/2013, 12:26:13, Note,3
01/06/2013, 12:26:13, Note,5
01/06/2013, 12:26:13, Note,6
01/06/2013, 12:26:13, Note,4
01/06/2013, 12:26:13, Note,5
01/06/2013, 12:26:13, Note,5
01/06/2013, 12:26:13, Note,4
01/06/2013, 12:26:13, Note,5
01/06/2013, 12:26:13, Note,3
01/06/2013, 12:26:13, Note,5
01/06/2013, 12:26:13, Note,2
01/06/2013, 12:26:13, Note,1
01/06/2013, 12:26:13, Note,7
01/06/2013, 12:26:13, Note,8
01/06/2013, 12:26:13, Note,5
01/06/2013, 12:26:13, Note,7
01/06/2013, 12:26:14, Note,6
01/06/2013, 12:26:14, Note,8
01/06/2013, 12:26:14, Note,5
01/06/2013, 12:26:14, Note,1
01/06/2013, 12:26:14, Note,7
01/06/2013, 12:26:14, Note,6
01/06/2013, 12:26:14, Note,2
01/06/2013, 12:26:14, Note,4
01/06/2013, 12:26:14, Note,3
01/06/2013, 12:26:14, Note,4
01/06/2013, 12:26:14, Note,4
01/06/2013, 12:26:14, Note,7
01/06/2013, 12:26:14, Note,5
01/06/2013, 12:26:14, Note,4
01/06/2013, 12:26:14, Note,1
01/06/2013, 12:26:14, Note,6
01/06/2013, 12:26:15, Note,5
01/06/2013, 12:26:15, Note,8
01/06/2013, 12:26:15, Note,8
01/06/2013, 12:26:15, Note,2
01/06/2013, 12:26:15, Note,3
01/06/2013, 12:26:15, Note,4
01/06/2013, 12:26:16, Note,7
01/06/2013, 12:26:16, Note,6
01/06/2013, 12:26:16, Note,1
01/06/2013, 12:26:16, Note,6
01/06/2013, 12:26:16, Note,7
01/06/2013, 12:26:16, Note,8
01/06/2013, 12:26:16, Note,8
01/06/2013, 12:26:17, Note,7
01/06/2013, 12:26:17, Note,6
01/06/2013, 12:26:17, Note,5
01/06/2013, 12:26:17, Note,1
01/06/2013, 12:26:17, Note,5
01/06/2013, 12:26:17, Note,2
01/06/2013, 12:26:17, Note,6
01/06/2013, 12:26:17, Note,3
01/06/2013, 12:26:17, Note,8
01/06/2013, 12:26:17, Note,4
01/06/2013, 12:26:18, Note,5
01/06/2013, 12:26:18, Note,7
01/06/2013, 12:26:18, Note,2
01/06/2013, 12:26:18, Note,6
01/06/2013, 12:26:18, Note,5
01/06/2013, 12:26:18, Note,1
01/06/2013, 12:26:18, Note,4
01/06/2013, 12:26:18, Note,4
01/06/2013, 12:26:18, Note,5
01/06/2013, 12:26:19, Note,6
01/06/2013, 12:26:19, Note,7
01/06/2013, 12:26:19, Note,7
01/06/2013, 12:26:19, Note,2
01/06/2013, 12:26:19, Note,5
01/06/2013, 12:26:19, Note,3
01/06/2013, 12:26:20, Note,5
01/06/2013, 12:26:20, Note,6
01/06/2013, 12:26:20, Switching to noises
01/06/2013, 12:26:20, Note,3
01/06/2013, 12:26:21, Note,7
01/06/2013, 12:26:21, Note,1
01/06/2013, 12:26:22, Note,2
01/06/2013, 12:26:22, Note,3
01/06/2013, 12:26:22, Note,2
01/06/2013, 12:26:22, Note,3
01/06/2013, 12:26:22, Note,1
01/06/2013, 12:26:23, Note,1
01/06/2013, 12:26:23, Note,2
01/06/2013, 12:26:23, Note,3
01/06/2013, 12:26:23, Note,6
01/06/2013, 12:26:23, Note,4
01/06/2013, 12:26:24, Note,6
01/06/2013, 12:26:24, Note,4
01/06/2013, 12:26:24, Note,6
01/06/2013, 12:26:24, Note,3
01/06/2013, 12:26:24, Note,3
01/06/2013, 12:26:24, Note,6
01/06/2013, 12:26:25, Note,5
01/06/2013, 12:26:25, Note,3
01/06/2013, 12:26:25, Note,5
01/06/2013, 12:26:25, Note,4
01/06/2013, 12:26:25, Note,5
01/06/2013, 12:26:25, Note,5
01/06/2013, 12:26:25, Note,5
01/06/2013, 12:26:25, Note,5
01/06/2013, 12:26:26, Note,5
01/06/2013, 12:26:26, Note,5
01/06/2013, 12:26:26, Note,5
01/06/2013, 12:26:26, Note,5
01/06/2013, 12:26:26, Note,5
01/06/2013, 12:26:26, Note,6
01/06/2013, 12:26:27, Note,7
01/06/2013, 12:26:27, Note,4
01/06/2013, 12:26:27, Note,5
01/06/2013, 12:26:27, Note,6
01/06/2013, 12:26:27, Note,7
01/06/2013, 12:26:27, Switching to instrument 0
01/06/2013, 12:26:30, Switching to instrument 1
01/06/2013, 12:26:41, Screen Saver
01/06/2013, 12:26:52, Screen Saver
01/06/2013, 12:27:03, Screen Saver
01/06/2013, 12:27:07, Note,8
01/06/2013, 12:27:08, Note,8
01/06/2013, 12:27:09, Note,6
01/06/2013, 12:27:10, Note,5
01/06/2013, 12:27:11, Note,4
01/06/2013, 12:27:11, Note,4
01/06/2013, 12:27:11, Note,3
01/06/2013, 12:27:12, Note,3
01/06/2013, 12:27:12, Note,2
01/06/2013, 12:27:13, Note,1
01/06/2013, 12:27:13, Note,7
01/06/2013, 12:27:13, Note,6
01/06/2013, 12:27:13, Switching to instrument 2
01/06/2013, 12:27:13, Note,7
01/06/2013, 12:27:13, Note,5
01/06/2013, 12:27:14, Switching to instrument 3
01/06/2013, 12:27:14, Switching to instrument 4
01/06/2013, 12:27:16, Note,6
01/06/2013, 12:27:18, Note,7
01/06/2013, 12:27:18, Switching to noises
01/06/2013, 12:27:18, Note,7
01/06/2013, 12:27:18, Switching to instrument 0
01/06/2013, 12:27:20, Note,7
01/06/2013, 12:27:20, Note,7
01/06/2013, 12:27:20, Switching to instrument 1
01/06/2013, 12:27:20, Note,8
01/06/2013, 12:27:21, Note,8
01/06/2013, 12:27:21, Switching to instrument 2
01/06/2013, 12:27:21, Note,7
01/06/2013, 12:27:21, Switching to instrument 3
01/06/2013, 12:27:22, Note,8
01/06/2013, 12:27:22, Switching to instrument 4
01/06/2013, 12:27:22, Switching to noises
01/06/2013, 12:27:22, Note,6
01/06/2013, 12:27:23, Note,2
01/06/2013, 12:27:23, Note,1
01/06/2013, 12:27:24, Note,5
01/06/2013, 12:27:24, Note,3
01/06/2013, 12:27:25, Note,3
01/06/2013, 12:27:25, Note,3
01/06/2013, 12:27:25, Note,3
01/06/2013, 12:27:26, Note,5
01/06/2013, 12:27:26, Note,4
01/06/2013, 12:27:26, Note,4
01/06/2013, 12:27:28, Note,2
01/06/2013, 12:27:28, Note,2
01/06/2013, 12:27:29, Note,2
01/06/2013, 12:27:29, Note,3
01/06/2013, 12:27:29, Note,2
01/06/2013, 12:27:29, Note,3
01/06/2013, 12:27:30, Note,2
01/06/2013, 12:27:30, Note,3
01/06/2013, 12:27:31, Note,4
01/06/2013, 12:27:31, Note,2
01/06/2013, 12:27:31, Note,4
01/06/2013, 12:27:33, Switching to instrument 0
01/06/2013, 12:27:33, Note,4
01/06/2013, 12:27:34, Note,5
01/06/2013, 12:27:35, Note,5
01/06/2013, 12:27:35, Note,6
01/06/2013, 12:27:35, Note,2
01/06/2013, 12:27:35, Note,7
01/06/2013, 12:27:36, Note,2
01/06/2013, 12:27:36, Note,2
01/06/2013, 12:27:36, Note,2
01/06/2013, 12:27:36, Note,2
01/06/2013, 12:27:37, Note,2
01/06/2013, 12:27:37, Note,2
01/06/2013, 12:27:38, Note,3
01/06/2013, 12:27:38, Note,3
01/06/2013, 12:27:39, Note,4
01/06/2013, 12:27:39, Note,2
01/06/2013, 12:27:40, Switching to instrument 1
01/06/2013, 12:27:40, Note,1
01/06/2013, 12:27:41, Note,2
01/06/2013, 12:27:42, Note,1
01/06/2013, 12:27:42, Switching to instrument 2
01/06/2013, 12:27:42, Note,1
01/06/2013, 12:27:43, Note,1
01/06/2013, 12:27:44, Note,3
01/06/2013, 12:27:44, Note,2
01/06/2013, 12:27:44, Note,2
01/06/2013, 12:27:45, Note,3
01/06/2013, 12:27:45, Note,4
01/06/2013, 12:27:45, Note,5
01/06/2013, 12:27:45, Note,5
01/06/2013, 12:27:46, Note,5
01/06/2013, 12:27:46, Note,6
01/06/2013, 12:27:49, Note,5
01/06/2013, 12:27:49, Note,6
01/06/2013, 12:27:49, Note,5
01/06/2013, 12:27:49, Note,6
01/06/2013, 12:27:49, Note,5
01/06/2013, 12:27:49, Note,5
01/06/2013, 12:27:49, Note,5
01/06/2013, 12:27:50, Note,5
01/06/2013, 12:27:50, Note,6
01/06/2013, 12:27:50, Note,7
01/06/2013, 12:28:01, Screen Saver
01/06/2013, 12:28:07, Note,7
01/06/2013, 12:28:07, Note,6
01/06/2013, 12:28:07, Note,4
01/06/2013, 12:28:08, Note,2
01/06/2013, 12:28:08, Note,3
