®vVHø00/00/0000, 00:00:00, Master Init Complete
09/13/2012, 08:47:58, Screen Saver
09/13/2012, 08:48:09, Screen Saver
09/13/2012, 08:48:20, Screen Saver
09/13/2012, 08:48:31, Screen Saver
09/13/2012, 08:48:42, Screen Saver
09/13/2012, 08:48:53, Screen Saver
09/13/2012, 08:49:04, Screen Saver
09/13/2012, 08:49:15, Screen Saver
09/13/2012, 08:49:26, Screen Saver
09/13/2012, 08:49:37, Screen Saver
09/13/2012, 08:49:48, Screen Saver
09/13/2012, 08:49:59, Screen Saver
09/13/2012, 08:50:10, Screen Saver
09/13/2012, 08:50:21, Screen Saver
09/13/2012, 08:50:32, Screen Saver
09/13/2012, 08:50:43, Screen Saver
09/13/2012, 08:50:54, Screen Saver
09/13/2012, 08:51:05, Screen Saver
09/13/2012, 08:51:16, Screen Saver
09/13/2012, 08:51:27, Screen Saver
09/13/2012, 08:51:38, Screen Saver
09/13/2012, 08:51:49, Screen Saver
09/13/2012, 08:52:00, Screen Saver
09/13/2012, 08:52:11, Screen Saver
09/13/2012, 08:52:22, Screen Saver
09/13/2012, 08:52:33, Screen Saver
09/13/2012, 08:52:45, Screen Saver
09/13/2012, 08:52:56, Screen Saver
09/13/2012, 08:53:07, Screen Saver
09/13/2012, 08:53:18, Screen Saver
09/13/2012, 08:53:29, Screen Saver
09/13/2012, 08:53:40, Screen Saver
09/13/2012, 08:53:51, Screen Saver
09/13/2012, 08:54:02, Screen Saver
09/13/2012, 08:54:13, Screen Saver
09/13/2012, 08:54:24, Screen Saver
09/13/2012, 08:54:35, Screen Saver
09/13/2012, 08:54:46, Screen Saver
09/13/2012, 08:54:57, Screen Saver
09/13/2012, 08:55:08, Screen Saver
09/13/2012, 08:55:19, Screen Saver
09/13/2012, 08:55:30, Screen Saver
09/13/2012, 08:55:41, Screen Saver
09/13/2012, 08:55:52, Screen Saver
09/13/2012, 08:56:03, Screen Saver
09/13/2012, 08:56:14, Screen Saver
09/13/2012, 08:56:25, Screen Saver
09/13/2012, 08:56:36, Screen Saver
09/13/2012, 08:56:47, Screen Saver
09/13/2012, 08:56:58, Screen Saver
09/13/2012, 08:57:09, Screen Saver
09/13/2012, 08:57:20, Screen Saver
09/13/2012, 08:57:31, Screen Saver
09/13/2012, 08:57:42, Screen Saver
09/13/2012, 08:57:53, Screen Saver
09/13/2012, 08:58:04, Screen Saver
09/13/2012, 08:58:15, Screen Saver
09/13/2012, 08:58:26, Screen Saver
09/13/2012, 08:58:37, Screen Saver
09/13/2012, 08:58:48, Screen Saver
09/13/2012, 08:58:59, Screen Saver
09/13/2012, 08:59:11, Screen Saver
09/13/2012, 08:59:22, Screen Saver
09/13/2012, 08:59:33, Screen Saver
09/13/2012, 08:59:44, Screen Saver
09/13/2012, 08:59:55, Screen Saver
09/13/2012, 09:00:06, Screen Saver
09/13/2012, 09:00:17, Screen Saver
09/13/2012, 09:00:28, Screen Saver
09/13/2012, 09:00:39, Screen Saver
09/13/2012, 09:00:50, Screen Saver
09/13/2012, 09:01:01, Screen Saver
09/13/2012, 09:01:12, Screen Saver
09/13/2012, 09:01:23, Screen Saver
09/13/2012, 09:01:34, Screen Saver
09/13/2012, 09:01:45, Screen Saver
09/13/2012, 09:01:56, Screen Saver
09/13/2012, 09:02:07, Screen Saver
09/13/2012, 09:02:18, Screen Saver
09/13/2012, 09:02:29, Screen Saver
09/13/2012, 09:02:40, Screen Saver
09/13/2012, 09:02:51, Screen Saver
09/13/2012, 09:03:02, Screen Saver
09/13/2012, 09:03:13, Screen Saver
09/13/2012, 09:03:24, Screen Saver
09/13/2012, 09:03:35, Screen Saver
09/13/2012, 09:03:46, Screen Saver
09/13/2012, 09:03:57, Screen Saver
09/13/2012, 09:04:08, Screen Saver
09/13/2012, 09:04:19, Screen Saver
09/13/2012, 09:04:30, Screen Saver
09/13/2012, 09:04:41, Screen Saver
09/13/2012, 09:04:52, Screen Saver
09/13/2012, 09:05:04, Screen Saver
09/13/2012, 09:05:15, Screen Saver
09/13/2012, 09:05:26, Screen Saver
09/13/2012, 09:05:37, Screen Saver
09/13/2012, 09:05:48, Screen Saver
09/13/2012, 09:05:59, Screen Saver
09/13/2012, 09:06:10, Screen Saver
09/13/2012, 09:06:21, Screen Saver
09/13/2012, 09:06:32, Screen Saver
09/13/2012, 09:06:43, Screen Saver
09/13/2012, 09:06:54, Screen Saver
09/13/2012, 09:07:05, Screen Saver
09/13/2012, 09:07:16, Screen Saver
09/13/2012, 09:07:27, Screen Saver
09/13/2012, 09:07:38, Screen Saver
09/13/2012, 09:07:49, Screen Saver
09/13/2012, 09:08:00, Screen Saver
09/13/2012, 09:08:11, Screen Saver
09/13/2012, 09:08:22, Screen Saver
09/13/2012, 09:08:33, Screen Saver
09/13/2012, 09:08:44, Screen Saver
09/13/2012, 09:08:55, Screen Saver
09/13/2012, 09:09:06, Screen Saver
09/13/2012, 09:09:17, Screen Saver
09/13/2012, 09:09:28, Screen Saver
09/13/2012, 09:09:39, Screen Saver
09/13/2012, 09:09:50, Screen Saver
09/13/2012, 09:10:01, Screen Saver
09/13/2012, 09:10:12, Screen Saver
09/13/2012, 09:10:23, Screen Saver
09/13/2012, 09:10:34, Screen Saver
09/13/2012, 09:10:45, Screen Saver
09/13/2012, 09:10:57, Screen Saver
09/13/2012, 09:11:08, Screen Saver
09/13/2012, 09:11:19, Screen Saver
09/13/2012, 09:11:30, Screen Saver
09/13/2012, 09:11:41, Screen Saver
09/13/2012, 09:11:52, Screen Saver
09/13/2012, 09:12:03, Screen Saver
09/13/2012, 09:12:14, Screen Saver
09/13/2012, 09:12:25, Screen Saver
09/13/2012, 09:12:36, Screen Saver
09/13/2012, 09:12:47, Screen Saver
09/13/2012, 09:12:58, Screen Saver
09/13/2012, 09:13:09, Screen Saver
09/13/2012, 09:13:20, Screen Saver
09/13/2012, 09:13:31, Screen Saver
09/13/2012, 09:13:42, Screen Saver
09/13/2012, 09:13:53, Screen Saver
09/13/2012, 09:14:04, Screen Saver
09/13/2012, 09:14:15, Screen Saver
09/13/2012, 09:14:26, Screen Saver
09/13/2012, 09:14:37, Screen Saver
09/13/2012, 09:14:48, Screen Saver
09/13/2012, 09:14:59, Screen Saver
09/13/2012, 09:15:10, Screen Saver
09/13/2012, 09:15:21, Screen Saver
09/13/2012, 09:15:32, Screen Saver
09/13/2012, 09:15:43, Screen Saver
09/13/2012, 09:15:54, Screen Saver
09/13/2012, 09:16:05, Screen Saver
09/13/2012, 09:16:16, Screen Saver
09/13/2012, 09:16:27, Screen Saver
09/13/2012, 09:16:38, Screen Saver
09/13/2012, 09:16:49, Screen Saver
09/13/2012, 09:17:01, Screen Saver
09/13/2012, 09:17:12, Screen Saver
09/13/2012, 09:17:23, Screen Saver
09/13/2012, 09:17:34, Screen Saver
09/13/2012, 09:17:45, Screen Saver
09/13/2012, 09:17:56, Screen Saver
09/13/2012, 09:18:07, Screen Saver
09/13/2012, 09:18:18, Screen Saver
09/13/2012, 09:18:29, Screen Saver
09/13/2012, 09:18:40, Screen Saver
09/13/2012, 09:18:51, Screen Saver
09/13/2012, 09:19:02, Screen Saver
09/13/2012, 09:19:13, Screen Saver
09/13/2012, 09:19:24, Screen Saver
09/13/2012, 09:19:35, Screen Saver
09/13/2012, 09:19:46, Screen Saver
09/13/2012, 09:19:57, Screen Saver
09/13/2012, 09:20:08, Screen Saver
09/13/2012, 09:20:19, Screen Saver
09/13/2012, 09:20:30, Screen Saver
09/13/2012, 09:20:41, Screen Saver
09/13/2012, 09:20:52, Screen Saver
09/13/2012, 09:21:03, Screen Saver
09/13/2012, 09:21:14, Screen Saver
09/13/2012, 09:21:25, Screen Saver
09/13/2012, 09:21:36, Screen Saver
09/13/2012, 09:21:47, Screen Saver
09/13/2012, 09:21:58, Screen Saver
09/13/2012, 09:22:09, Screen Saver
09/13/2012, 09:22:20, Screen Saver
09/13/2012, 09:22:31, Screen Saver
09/13/2012, 09:22:42, Screen Saver
09/13/2012, 09:22:53, Screen Saver
09/13/2012, 09:23:04, Screen Saver
09/13/2012, 09:23:15, Screen Saver
09/13/2012, 09:23:26, Screen Saver
09/13/2012, 09:23:38, Screen Saver
09/13/2012, 09:23:49, Screen Saver
09/13/2012, 09:24:00, Screen Saver
09/13/2012, 09:24:11, Screen Saver
09/13/2012, 09:24:22, Screen Saver
09/13/2012, 09:24:33, Screen Saver
09/13/2012, 09:24:44, Screen Saver
09/13/2012, 09:24:55, Screen Saver
09/13/2012, 09:25:06, Screen Saver
09/13/2012, 09:25:17, Screen Saver
09/13/2012, 09:25:28, Screen Saver
09/13/2012, 09:25:39, Screen Saver
09/13/2012, 09:25:50, Screen Saver
09/13/2012, 09:26:01, Screen Saver
09/13/2012, 09:26:12, Screen Saver
09/13/2012, 09:26:23, Screen Saver
09/13/2012, 09:26:34, Screen Saver
09/13/2012, 09:26:45, Screen Saver
09/13/2012, 09:26:56, Screen Saver
09/13/2012, 09:27:07, Screen Saver
09/13/2012, 09:27:18, Screen Saver
09/13/2012, 09:27:29, Screen Saver
09/13/2012, 09:27:40, Screen Saver
09/13/2012, 09:27:51, Screen Saver
09/13/2012, 09:28:02, Screen Saver
09/13/2012, 09:28:13, Screen Saver
09/13/2012, 09:28:24, Screen Saver
09/13/2012, 09:28:35, Screen Saver
09/13/2012, 09:28:46, Screen Saver
09/13/2012, 09:28:57, Screen Saver
09/13/2012, 09:29:08, Screen Saver
09/13/2012, 09:29:19, Screen Saver
09/13/2012, 09:29:31, Screen Saver
09/13/2012, 09:29:42, Screen Saver
09/13/2012, 09:29:53, Screen Saver
09/13/2012, 09:30:04, Screen Saver
09/13/2012, 09:30:15, Screen Saver
09/13/2012, 09:30:26, Screen Saver
09/13/2012, 09:30:37, Screen Saver
09/13/2012, 09:30:48, Screen Saver
09/13/2012, 09:30:59, Screen Saver
09/13/2012, 09:31:10, Screen Saver
09/13/2012, 09:31:21, Screen Saver
09/13/2012, 09:31:32, Screen Saver
09/13/2012, 09:31:43, Screen Saver
09/13/2012, 09:31:53, Note,8
09/13/2012, 09:31:53, Note,7
09/13/2012, 09:31:53, Note,6
09/13/2012, 09:31:53, Note,5
09/13/2012, 09:31:54, Note,4
09/13/2012, 09:31:54, Note,3
09/13/2012, 09:31:54, Note,2
09/13/2012, 09:31:54, Note,2
09/13/2012, 09:31:54, Note,2
09/13/2012, 09:31:55, Note,3
09/13/2012, 09:31:55, Note,4
09/13/2012, 09:31:55, Note,5
09/13/2012, 09:31:55, Note,6
09/13/2012, 09:31:56, Note,8
09/13/2012, 09:31:56, Note,8
09/13/2012, 09:31:57, Note,7
09/13/2012, 09:31:57, Note,6
09/13/2012, 09:31:57, Note,4
09/13/2012, 09:31:58, Note,3
09/13/2012, 09:31:58, Note,1
09/13/2012, 09:31:59, Note,1
09/13/2012, 09:32:00, Note,1
09/13/2012, 09:32:00, Note,2
09/13/2012, 09:32:00, Note,3
09/13/2012, 09:32:01, Note,3
09/13/2012, 09:32:04, Note,4
09/13/2012, 09:32:14, Screen Saver
09/13/2012, 09:32:25, Screen Saver
09/13/2012, 09:32:36, Screen Saver
09/13/2012, 09:32:47, Screen Saver
09/13/2012, 09:32:58, Screen Saver
09/13/2012, 09:33:09, Screen Saver
09/13/2012, 09:33:20, Screen Saver
09/13/2012, 09:33:31, Screen Saver
09/13/2012, 09:33:42, Screen Saver
09/13/2012, 09:33:53, Screen Saver
09/13/2012, 09:34:04, Screen Saver
09/13/2012, 09:34:15, Screen Saver
09/13/2012, 09:34:26, Screen Saver
09/13/2012, 09:34:37, Screen Saver
09/13/2012, 09:34:48, Screen Saver
09/13/2012, 09:34:59, Screen Saver
09/13/2012, 09:35:10, Screen Saver
09/13/2012, 09:35:21, Screen Saver
09/13/2012, 09:35:32, Screen Saver
09/13/2012, 09:35:43, Screen Saver
09/13/2012, 09:35:54, Screen Saver
09/13/2012, 09:36:06, Screen Saver
09/13/2012, 09:36:17, Screen Saver
09/13/2012, 09:36:28, Screen Saver
09/13/2012, 09:36:39, Screen Saver
09/13/2012, 09:36:50, Screen Saver
09/13/2012, 09:37:01, Screen Saver
09/13/2012, 09:37:12, Screen Saver
09/13/2012, 09:37:23, Screen Saver
09/13/2012, 09:37:34, Screen Saver
09/13/2012, 09:37:45, Screen Saver
09/13/2012, 09:37:56, Screen Saver
09/13/2012, 09:38:07, Screen Saver
09/13/2012, 09:38:18, Screen Saver
09/13/2012, 09:38:29, Screen Saver
09/13/2012, 09:38:40, Screen Saver
09/13/2012, 09:38:51, Screen Saver
09/13/2012, 09:39:02, Screen Saver
09/13/2012, 09:39:13, Screen Saver
09/13/2012, 09:39:24, Screen Saver
09/13/2012, 09:39:35, Screen Saver
09/13/2012, 09:39:46, Screen Saver
09/13/2012, 09:39:57, Screen Saver
09/13/2012, 09:40:08, Screen Saver
09/13/2012, 09:40:19, Screen Saver
09/13/2012, 09:40:30, Screen Saver
09/13/2012, 09:40:41, Screen Saver
09/13/2012, 09:40:52, Screen Saver
09/13/2012, 09:41:03, Screen Saver
09/13/2012, 09:41:14, Screen Saver
09/13/2012, 09:41:25, Screen Saver
09/13/2012, 09:41:36, Screen Saver
09/13/2012, 09:41:48, Screen Saver
09/13/2012, 09:41:59, Screen Saver
09/13/2012, 09:42:10, Screen Saver
09/13/2012, 09:42:19, Note,1
09/13/2012, 09:42:20, Note,2
09/13/2012, 09:42:20, Note,2
09/13/2012, 09:42:22, Note,2
09/13/2012, 09:42:22, Note,2
09/13/2012, 09:42:22, Note,2
09/13/2012, 09:42:23, Note,4
09/13/2012, 09:42:23, Note,4
09/13/2012, 09:42:24, Note,5
09/13/2012, 09:42:24, Note,5
09/13/2012, 09:42:24, Note,6
09/13/2012, 09:42:24, Note,7
09/13/2012, 09:42:24, Note,8
09/13/2012, 09:42:25, Note,7
09/13/2012, 09:42:25, Note,8
09/13/2012, 09:42:25, Note,7
09/13/2012, 09:42:25, Note,7
09/13/2012, 09:42:25, Note,5
09/13/2012, 09:42:25, Note,7
09/13/2012, 09:42:25, Note,7
09/13/2012, 09:42:25, Note,4
09/13/2012, 09:42:25, Note,6
09/13/2012, 09:42:25, Note,4
09/13/2012, 09:42:26, Note,3
09/13/2012, 09:42:26, Note,1
09/13/2012, 09:42:26, Note,2
09/13/2012, 09:42:26, Note,4
09/13/2012, 09:42:26, Note,2
09/13/2012, 09:42:26, Note,5
09/13/2012, 09:42:26, Note,3
09/13/2012, 09:42:26, Note,6
09/13/2012, 09:42:26, Note,8
09/13/2012, 09:42:26, Note,4
09/13/2012, 09:42:26, Note,7
09/13/2012, 09:42:26, Note,5
09/13/2012, 09:42:27, Note,4
09/13/2012, 09:42:27, Note,3
09/13/2012, 09:42:27, Note,8
09/13/2012, 09:42:27, Note,1
09/13/2012, 09:42:27, Note,2
09/13/2012, 09:42:28, Note,8
09/13/2012, 09:42:28, Note,2
09/13/2012, 09:42:28, Note,1
09/13/2012, 09:42:28, Note,4
09/13/2012, 09:42:29, Note,2
09/13/2012, 09:42:29, Note,5
09/13/2012, 09:42:29, Note,3
09/13/2012, 09:42:29, Note,6
09/13/2012, 09:42:29, Note,4
09/13/2012, 09:42:29, Note,7
09/13/2012, 09:42:29, Note,7
09/13/2012, 09:42:29, Note,8
09/13/2012, 09:42:29, Note,5
09/13/2012, 09:42:29, Note,7
09/13/2012, 09:42:30, Note,4
09/13/2012, 09:42:30, Note,6
09/13/2012, 09:42:30, Note,3
09/13/2012, 09:42:30, Note,5
09/13/2012, 09:42:30, Note,2
09/13/2012, 09:42:30, Note,4
09/13/2012, 09:42:30, Note,1
09/13/2012, 09:42:32, Switching to instrument 1
09/13/2012, 09:42:36, Switching to instrument 2
09/13/2012, 09:42:36, Note,8
09/13/2012, 09:42:37, Note,2
09/13/2012, 09:42:37, Note,8
09/13/2012, 09:42:37, Note,8
09/13/2012, 09:42:38, Note,8
09/13/2012, 09:42:38, Note,8
09/13/2012, 09:42:38, Note,3
09/13/2012, 09:42:39, Note,1
09/13/2012, 09:42:40, Note,3
09/13/2012, 09:42:40, Note,2
09/13/2012, 09:42:40, Note,4
09/13/2012, 09:42:40, Note,8
09/13/2012, 09:42:40, Note,5
09/13/2012, 09:42:40, Note,6
09/13/2012, 09:42:40, Note,6
09/13/2012, 09:42:40, Note,8
09/13/2012, 09:42:41, Note,6
09/13/2012, 09:42:41, Note,3
09/13/2012, 09:42:41, Note,2
09/13/2012, 09:42:41, Note,2
09/13/2012, 09:42:41, Note,1
09/13/2012, 09:42:41, Note,1
09/13/2012, 09:42:42, Note,1
09/13/2012, 09:42:42, Note,4
09/13/2012, 09:42:42, Note,5
09/13/2012, 09:42:42, Note,3
09/13/2012, 09:42:42, Note,5
09/13/2012, 09:42:42, Note,6
09/13/2012, 09:42:42, Note,7
09/13/2012, 09:42:42, Note,6
09/13/2012, 09:42:43, Note,7
09/13/2012, 09:42:43, Note,6
09/13/2012, 09:42:43, Note,3
09/13/2012, 09:42:43, Note,5
09/13/2012, 09:42:43, Note,2
09/13/2012, 09:42:43, Note,4
09/13/2012, 09:42:43, Note,1
09/13/2012, 09:42:43, Note,3
09/13/2012, 09:42:44, Note,2
09/13/2012, 09:42:45, Note,2
09/13/2012, 09:42:46, Switching to instrument 3
09/13/2012, 09:42:46, Note,2
09/13/2012, 09:42:47, Switching to instrument 4
09/13/2012, 09:42:47, Note,2
09/13/2012, 09:42:47, Note,3
09/13/2012, 09:42:47, Note,4
09/13/2012, 09:42:47, Note,3
09/13/2012, 09:42:48, Note,5
09/13/2012, 09:42:48, Note,6
09/13/2012, 09:42:48, Note,7
09/13/2012, 09:42:48, Note,8
09/13/2012, 09:42:48, Note,7
09/13/2012, 09:42:48, Note,4
09/13/2012, 09:42:49, Note,4
09/13/2012, 09:42:49, Note,6
09/13/2012, 09:42:49, Note,3
09/13/2012, 09:42:49, Note,5
09/13/2012, 09:42:49, Note,2
09/13/2012, 09:42:49, Note,1
09/13/2012, 09:42:49, Note,3
09/13/2012, 09:42:49, Note,2
09/13/2012, 09:42:50, Note,3
09/13/2012, 09:42:50, Note,4
09/13/2012, 09:42:50, Note,5
09/13/2012, 09:42:50, Note,6
09/13/2012, 09:42:51, Note,6
09/13/2012, 09:42:51, Note,7
09/13/2012, 09:42:51, Note,8
09/13/2012, 09:42:51, Note,7
09/13/2012, 09:42:51, Note,6
09/13/2012, 09:42:51, Note,4
09/13/2012, 09:42:52, Note,5
09/13/2012, 09:42:53, Note,5
09/13/2012, 09:42:53, Note,3
09/13/2012, 09:42:54, Note,2
09/13/2012, 09:42:54, Note,2
09/13/2012, 09:42:54, Note,4
09/13/2012, 09:42:54, Note,5
09/13/2012, 09:42:55, Note,6
09/13/2012, 09:42:55, Note,5
09/13/2012, 09:42:55, Note,6
09/13/2012, 09:42:55, Note,7
09/13/2012, 09:42:55, Note,7
09/13/2012, 09:43:06, Screen Saver
09/13/2012, 09:43:12, Switching to noises
09/13/2012, 09:43:15, Switching to instrument 0
09/13/2012, 09:43:26, Screen Saver
09/13/2012, 09:43:36, Switching to instrument 1
09/13/2012, 09:43:47, Screen Saver
09/13/2012, 09:43:58, Screen Saver
09/13/2012, 09:44:09, Screen Saver
09/13/2012, 09:44:20, Screen Saver
09/13/2012, 09:44:31, Screen Saver
09/13/2012, 09:44:42, Screen Saver
09/13/2012, 09:44:53, Screen Saver
09/13/2012, 09:45:04, Screen Saver
09/13/2012, 09:45:15, Screen Saver
09/13/2012, 09:45:26, Screen Saver
09/13/2012, 09:45:37, Screen Saver
09/13/2012, 09:45:45, Switching to instrument 2
09/13/2012, 09:45:45, Switching to instrument 3
09/13/2012, 09:45:45, Note,1
09/13/2012, 09:45:45, Note,3
09/13/2012, 09:45:46, Note,1
09/13/2012, 09:45:49, Note,5
09/13/2012, 09:45:49, Note,3
09/13/2012, 09:45:49, Note,3
09/13/2012, 09:45:50, Note,4
09/13/2012, 09:45:50, Note,5
09/13/2012, 09:45:50, Note,6
09/13/2012, 09:45:50, Note,5
09/13/2012, 09:45:50, Note,5
09/13/2012, 09:45:50, Note,4
09/13/2012, 09:45:50, Note,3
09/13/2012, 09:45:50, Note,2
09/13/2012, 09:45:50, Note,2
09/13/2012, 09:45:51, Note,4
09/13/2012, 09:45:51, Note,2
09/13/2012, 09:45:51, Note,5
09/13/2012, 09:45:51, Note,5
09/13/2012, 09:45:51, Note,1
09/13/2012, 09:45:51, Note,1
09/13/2012, 09:45:51, Note,2
09/13/2012, 09:45:51, Note,6
09/13/2012, 09:45:52, Note,5
09/13/2012, 09:45:52, Note,4
09/13/2012, 09:45:52, Note,5
09/13/2012, 09:45:52, Note,6
09/13/2012, 09:45:52, Note,5
09/13/2012, 09:45:52, Switching to instrument 4
09/13/2012, 09:45:52, Note,6
09/13/2012, 09:45:53, Note,7
09/13/2012, 09:45:53, Note,8
09/13/2012, 09:45:53, Note,4
09/13/2012, 09:45:53, Note,6
09/13/2012, 09:45:54, Note,4
09/13/2012, 09:45:54, Note,3
09/13/2012, 09:45:54, Note,3
09/13/2012, 09:45:54, Note,3
09/13/2012, 09:45:54, Note,3
09/13/2012, 09:45:55, Note,3
09/13/2012, 09:45:55, Note,3
09/13/2012, 09:45:55, Note,3
09/13/2012, 09:46:05, Screen Saver
09/13/2012, 09:46:08, Note,8
09/13/2012, 09:46:08, Note,7
09/13/2012, 09:46:09, Note,6
09/13/2012, 09:46:09, Note,5
09/13/2012, 09:46:09, Note,4
09/13/2012, 09:46:10, Note,3
09/13/2012, 09:46:10, Note,2
09/13/2012, 09:46:11, Note,4
09/13/2012, 09:46:11, Note,3
09/13/2012, 09:46:11, Note,1
09/13/2012, 09:46:12, Note,1
09/13/2012, 09:46:13, Note,1
09/13/2012, 09:46:13, Note,3
09/13/2012, 09:46:14, Note,1
09/13/2012, 09:46:14, Switching to noises
09/13/2012, 09:46:14, Note,1
09/13/2012, 09:46:15, Note,1
09/13/2012, 09:46:16, Note,3
09/13/2012, 09:46:17, Note,4
09/13/2012, 09:46:18, Note,5
09/13/2012, 09:46:18, Note,3
09/13/2012, 09:46:18, Note,7
09/13/2012, 09:46:19, Note,4
09/13/2012, 09:46:29, Screen Saver
09/13/2012, 09:46:40, Screen Saver
09/13/2012, 09:46:51, Screen Saver
09/13/2012, 09:47:02, Screen Saver
09/13/2012, 09:47:13, Screen Saver
09/13/2012, 09:47:24, Screen Saver
09/13/2012, 09:47:35, Screen Saver
09/13/2012, 09:47:46, Screen Saver
09/13/2012, 09:47:58, Screen Saver
09/13/2012, 09:48:09, Screen Saver
09/13/2012, 09:48:20, Screen Saver
09/13/2012, 09:48:31, Screen Saver
09/13/2012, 09:48:42, Screen Saver
09/13/2012, 09:48:53, Screen Saver
09/13/2012, 09:49:02, Note,1
09/13/2012, 09:49:02, Note,1
09/13/2012, 09:49:03, Note,1
09/13/2012, 09:49:04, Note,1
09/13/2012, 09:49:04, Note,2
09/13/2012, 09:49:09, Note,2
09/13/2012, 09:49:09, Note,2
09/13/2012, 09:49:09, Note,2
09/13/2012, 09:49:12, Note,3
09/13/2012, 09:49:13, Note,3
09/13/2012, 09:49:13, Note,3
09/13/2012, 09:49:14, Note,3
09/13/2012, 09:49:14, Note,4
09/13/2012, 09:49:16, Note,4
09/13/2012, 09:49:18, Note,5
09/13/2012, 09:49:18, Note,4
09/13/2012, 09:49:18, Note,4
09/13/2012, 09:49:19, Note,4
09/13/2012, 09:49:20, Note,5
09/13/2012, 09:49:20, Note,6
09/13/2012, 09:49:20, Note,6
09/13/2012, 09:49:27, Note,7
09/13/2012, 09:49:28, Note,7
09/13/2012, 09:49:28, Note,7
09/13/2012, 09:49:28, Note,7
09/13/2012, 09:49:28, Note,7
09/13/2012, 09:49:29, Note,7
09/13/2012, 09:49:32, Note,7
09/13/2012, 09:49:43, Screen Saver
09/13/2012, 09:49:54, Screen Saver
09/13/2012, 09:50:05, Screen Saver
09/13/2012, 09:50:13, Note,1
09/13/2012, 09:50:13, Note,1
09/13/2012, 09:50:15, Note,1
09/13/2012, 09:50:16, Switching to instrument 0
09/13/2012, 09:50:17, Note,1
09/13/2012, 09:50:21, Note,2
09/13/2012, 09:50:21, Note,2
09/13/2012, 09:50:22, Note,1
09/13/2012, 09:50:22, Note,2
09/13/2012, 09:50:23, Note,3
09/13/2012, 09:50:23, Note,4
09/13/2012, 09:50:26, Note,1
09/13/2012, 09:50:27, Switching to instrument 1
09/13/2012, 09:50:28, Note,1
09/13/2012, 09:50:28, Switching to instrument 2
09/13/2012, 09:50:38, Screen Saver
09/13/2012, 09:50:49, Screen Saver
09/13/2012, 09:51:00, Screen Saver
09/13/2012, 09:51:11, Screen Saver
09/13/2012, 09:51:17, Switching to instrument 3
09/13/2012, 09:51:18, Note,1
09/13/2012, 09:51:19, Note,2
